country1:STRING|country2:STRING
India|Chile
Germany|Japan
China|Spain
India|Italy
India|South_Korea
China|Egypt
Indonesia|Russia
India|Algeria
India|Canada
Russia|Belarus
Indonesia|Philippines
Democratic_Republic_of_the_Congo|South_Africa
India|Egypt
China|Czech_Republic
China|South_Africa
France|Sri_Lanka
India|Australia
India|Tunisia
Brazil|Germany
Colombia|Peru
China|Ukraine
India|Moldova
China|Sweden
China|Tunisia
United_States|Vietnam
Netherlands|South_Africa
India|Madagascar
China|Algeria
China|Belarus
India|South_Africa
China|Cambodia
India|Niger
India|Thailand
China|Kazakhstan
Brazil|Indonesia
Czech_Republic|Turkey
Mexico|Philippines
China|Australia
Germany|Philippines
China|Niger
England|Tunisia
India|Spain
China|Thailand
China|Nepal
China|Taiwan
Germany|Russia
India|Burma
India|Sweden
China|Morocco
Indonesia|Japan
