person1Id:ID|person2Id:ID|startDate:DATE|endDate:DATE
39064|26388279136511|2012-11-04|2012-11-13
39064|4398046540619|2012-11-04|2012-11-12
39064|2199023256536|2012-11-04|2012-11-09
39064|8796093051376|2012-11-04|2012-11-09
39064|19791209304603|2012-11-04|2012-11-10
50890|16260|2012-11-08|2012-11-14
39064|19791209307786|2012-11-04|2012-11-08
39064|6597069783522|2012-11-04|2012-11-09
39064|8796093090183|2012-11-04|2012-11-08
39064|21990232619662|2012-11-04|2012-11-14
50890|4398046511282|2012-11-08|2012-11-12
39064|24189255821214|2012-11-04|2012-11-09
50890|2199023292196|2012-11-08|2012-11-11
39064|24189255830832|2012-11-04|2012-11-09
39064|32985348888792|2012-11-04|2012-11-14
50890|70043|2012-11-08|2012-11-09
39064|17592186097860|2012-11-04|2012-11-11
50890|67073|2012-11-08|2012-11-14
31165|15393162811817|2012-11-07|2012-11-08
39064|10995116295114|2012-11-04|2012-11-08
50890|2199023309769|2012-11-08|2012-11-14
50890|60552|2012-11-08|2012-11-10
39064|28774|2012-11-04|2012-11-12
50890|3638|2012-11-08|2012-11-13
39064|6597069802113|2012-11-04|2012-11-08
39064|44923|2012-11-04|2012-11-12
50890|2199023301559|2012-11-08|2012-11-08
39064|15393162799683|2012-11-04|2012-11-12
31165|15393162854810|2012-11-07|2012-11-14
39064|13194139560728|2012-11-04|2012-11-08
39064|8796093092345|2012-11-04|2012-11-14
50890|4398046531735|2012-11-08|2012-11-11
50890|16897|2012-11-08|2012-11-14
39064|8796093074218|2012-11-04|2012-11-10
39064|17592186087633|2012-11-04|2012-11-11
39064|6597069790108|2012-11-04|2012-11-08
39064|26388279121153|2012-11-04|2012-11-13
39064|30786325643755|2012-11-04|2012-11-11
39064|13194139565284|2012-11-04|2012-11-14
39064|24189255856976|2012-11-04|2012-11-08
39064|6597069783918|2012-11-04|2012-11-13
39064|35184372123697|2012-11-04|2012-11-14
39064|13194139545340|2012-11-04|2012-11-13
31165|10995116332622|2012-11-07|2012-11-10
39064|21990232592211|2012-11-04|2012-11-10
39064|6597069797384|2012-11-04|2012-11-11
31165|6597069778226|2012-11-07|2012-11-12
39064|17592186112476|2012-11-04|2012-11-11
50890|13665|2012-11-08|2012-11-09
39064|10995116333900|2012-11-04|2012-11-14
50890|2199023309192|2012-11-08|2012-11-11
31165|19791209337220|2012-11-07|2012-11-14
50890|2199023276650|2012-11-08|2012-11-12
50890|70773|2012-11-08|2012-11-11
39064|15393162824276|2012-11-04|2012-11-14
50890|2199023307870|2012-11-08|2012-11-12
39064|10995116311656|2012-11-04|2012-11-09
39064|37383395366083|2012-11-04|2012-11-12
39064|24189255845239|2012-11-04|2012-11-10
50890|35406|2012-11-08|2012-11-08
31165|13194139541494|2012-11-07|2012-11-10
