tagA:STRING|dateA:DATE|tagB:STRING|dateB:DATE|maxKnowsLimit:INT
Diosdado_Macapagal|2012-10-08|Thailand|2012-02-21|5
Bobby_Hull|2012-06-21|Franz_Joseph_I_of_Austria|2012-11-10|3
Bobby_Hull|2012-06-22|Franz_Joseph_I_of_Austria|2012-11-10|4
Robert_Fripp|2011-02-15|Mary_J._Blige|2012-12-31|3
Robert_Fripp|2011-02-16|Mary_J._Blige|2012-12-31|4
Helena_Blavatsky|2012-09-15|Brian_Eno|2012-12-30|3
Kateryna_Bondarenko|2011-09-18|Burma|2012-12-02|5
Tom_Gehrels|2011-02-02|Oman|2012-12-27|6
Tom_Gehrels|2011-02-03|Oman|2012-12-27|3
Humayun|2011-10-08|Oscar_Hammerstein_II|2012-12-27|6
Shapur_II|2010-10-11|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-22|4
Shapur_II|2010-10-12|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-22|5
Paul_Capdeville|2010-11-22|Western_Roman_Empire|2011-10-16|6
Ehud_Olmert|2012-08-04|Burt_Reynolds|2012-12-29|4
Ehud_Olmert|2012-08-05|Burt_Reynolds|2012-12-29|5
Fernando_González|2011-09-27|Universal_Studios|2012-11-26|4
Chen_Shui-bian|2012-08-02|Augusto_Pinochet|2012-09-16|6
Haile_Selassie_I|2010-08-29|Franz_Joseph_I_of_Austria|2012-11-10|3
Haile_Selassie_I|2010-08-30|Franz_Joseph_I_of_Austria|2012-11-10|4
Luís_Figo|2010-09-30|Giacomo_Puccini|2012-12-23|6
Paradorn_Srichaphan|2012-02-20|Lucille_Ball|2012-12-19|4
Paradorn_Srichaphan|2012-02-21|Lucille_Ball|2012-12-19|5
Paradorn_Srichaphan|2012-02-22|Lucille_Ball|2012-12-19|6
Haile_Gebrselassie|2011-03-26|Elizabeth_I_of_England|2012-12-03|6
Gil_Kane|2011-04-14|Brad_Pitt|2012-12-12|6
Alejandro_Falla|2012-05-03|Belize|2012-12-21|3
Léopold_Sédar_Senghor|2010-10-05|Nicolas_Sarkozy|2012-12-13|5
Chulalongkorn|2010-12-30|Alfred_Hitchcock|2012-12-04|6
Alexander_Downer|2012-01-30|Giacomo_Puccini|2012-12-23|3
Shapur_II|2010-10-11|J._R._R._Tolkien|2012-10-26|3
Shapur_II|2010-10-12|J._R._R._Tolkien|2012-10-26|4
Sanath_Jayasuriya|2011-03-26|Burt_Reynolds|2012-12-29|4
Sanath_Jayasuriya|2011-03-27|Burt_Reynolds|2012-12-29|5
Sanath_Jayasuriya|2012-01-03|Burt_Reynolds|2012-12-29|6
Sanath_Jayasuriya|2012-01-04|Burt_Reynolds|2012-12-29|3
Peter_Hain|2011-10-11|Mel_Blanc|2012-12-31|5
Peter_Hain|2011-10-12|Mel_Blanc|2012-12-31|6
Helena_Blavatsky|2012-09-15|John_Quincy_Adams|2012-12-18|3
Robert_Fripp|2011-02-15|Robert_Louis_Stevenson|2012-12-05|5
Robert_Fripp|2011-02-16|Robert_Louis_Stevenson|2012-12-05|6
Kateryna_Bondarenko|2011-09-18|Michael_Jackson|2012-12-06|5
Léopold_Sédar_Senghor|2010-10-05|William_Pitt_the_Younger|2012-12-28|4
Robert_Fripp|2011-02-15|Rupert_Murdoch|2012-12-01|5
Robert_Fripp|2011-02-16|Rupert_Murdoch|2012-12-01|6
David_Hockney|2011-06-14|Lucille_Ball|2012-12-19|6
David_Hockney|2011-06-15|Lucille_Ball|2012-12-19|3
Jawaharlal_Nehru|2011-04-20|Katy_Perry|2012-12-23|3
Kateryna_Bondarenko|2011-09-18|Czech_Republic|2012-11-24|5
Eugène_Ionesco|2012-04-07|Slovenia|2012-12-05|5
Jawaharlal_Nehru|2011-04-20|Western_Roman_Empire|2011-10-16|6
Carl_Gustaf_Emil_Mannerheim|2011-12-12|Isabella_I_of_Castile|2012-12-21|5
Luís_Figo|2010-09-30|Roger_Ebert|2012-12-02|5
Imelda_Marcos|2012-05-07|Kuwait|2012-12-16|6
Imelda_Marcos|2012-05-08|Kuwait|2012-12-16|3
Imelda_Marcos|2012-05-09|Kuwait|2012-12-16|4
Dimitri_Tiomkin|2011-10-07|Rupert_Murdoch|2012-12-01|3
Francis_I_of_the_Two_Sicilies|2012-10-04|Brian_Eno|2012-12-30|6
Francis_I_of_the_Two_Sicilies|2012-10-05|Brian_Eno|2012-12-30|3
Jawaharlal_Nehru|2011-04-20|Isabella_I_of_Castile|2012-12-21|5
Bobby_Hull|2012-06-21|Republic_of_Ireland|2012-11-23|4
Bobby_Hull|2012-06-22|Republic_of_Ireland|2012-11-23|5
Alejandro_Falla|2012-05-03|Thailand|2012-02-21|3
Ehud_Olmert|2012-08-04|Livy|2012-12-27|6
Ehud_Olmert|2012-08-05|Livy|2012-12-27|3
Chen_Shui-bian|2012-08-02|Francis_Ford_Coppola|2012-12-23|4
Luís_Figo|2010-09-30|14th_Dalai_Lama|2012-12-16|3
Dimitri_Tiomkin|2011-10-07|Western_Roman_Empire|2011-10-16|4
Jan_Hus|2011-06-22|Francis_I_of_France|2012-12-14|5
Paradorn_Srichaphan|2012-02-20|Queen_Elizabeth_The_Queen_Mother|2012-12-18|3
Paradorn_Srichaphan|2012-02-21|Queen_Elizabeth_The_Queen_Mother|2012-12-18|4
Paradorn_Srichaphan|2012-02-22|Queen_Elizabeth_The_Queen_Mother|2012-12-18|5
Carl_Gustaf_Emil_Mannerheim|2011-12-12|East_Germany|2012-11-24|6
Jawaharlal_Nehru|2011-04-20|Hilary_Duff|2012-12-24|4
Muammar_Gaddafi|2011-10-15|Jorge_Luis_Borges|2012-08-11|3
Muammar_Gaddafi|2011-10-16|Jorge_Luis_Borges|2012-08-11|4
Francis_I_of_the_Two_Sicilies|2012-10-04|Mark_Twain|2012-08-05|3
Francis_I_of_the_Two_Sicilies|2012-10-05|Mark_Twain|2012-08-05|4
Dimitri_Tiomkin|2011-10-07|James_Cameron|2012-12-11|5
Bobby_Hull|2012-06-21|Ferdinand_II_of_Aragon|2012-12-29|4
Bobby_Hull|2012-06-22|Ferdinand_II_of_Aragon|2012-12-29|5
Paul_Capdeville|2010-11-22|Solomon|2012-12-25|5
Chulalongkorn|2010-12-30|Dominican_Republic|2012-12-05|3
Ho_Chi_Minh|2010-07-23|Ulysses_S._Grant|2012-11-13|5
Ho_Chi_Minh|2010-10-30|Ulysses_S._Grant|2012-11-13|4
Ho_Chi_Minh|2010-10-31|Ulysses_S._Grant|2012-11-13|5
Manuel_Noriega|2012-06-02|Mel_Blanc|2012-12-31|3
Manuel_Noriega|2012-06-03|Mel_Blanc|2012-12-31|4
Rubén_Blades|2010-06-03|Christopher_Columbus|2012-11-13|3
Luís_Figo|2010-09-30|Jorge_Luis_Borges|2012-08-11|4
Peter_Hain|2011-10-11|J._R._R._Tolkien|2012-10-26|3
Peter_Hain|2011-10-12|J._R._R._Tolkien|2012-10-26|4
Paula_Abdul|2010-05-27|Leonard_Bernstein|2012-11-25|4
