date:DATE|tagClass:STRING
2010-06-08|ChristianBishop
2010-06-06|Senator
2010-06-07|ComicsCharacter
2010-06-20|Comedian
2010-06-20|SoccerManager
2010-06-10|EurovisionSongContestEntry
2010-06-22|MilitaryPerson
2010-06-17|PrimeMinister
2010-06-23|ChristianBishop
2010-06-07|Thing
2010-06-20|ChristianBishop
2010-06-13|Artist
2010-06-07|ComicsCreator
2010-06-17|SoccerManager
2010-06-23|ComicsCharacter
2010-06-07|SoccerPlayer
2010-06-23|Governor
2010-06-07|Comedian
2010-06-05|Architect
2010-06-08|Thing
2010-06-22|ComicsCreator
2010-06-15|ComicsCreator
2010-06-11|Artist
2010-06-18|SoccerPlayer
2010-06-23|MilitaryPerson
2010-06-19|Senator
2010-06-10|PrimeMinister
2010-06-14|ComicsCharacter
2010-06-19|ChristianBishop
2010-06-14|ComicsCreator
2010-06-12|BaseballPlayer
2010-06-10|SoccerManager
2010-06-10|BaseballPlayer
2010-06-20|Architect
2010-06-05|Actor
2010-06-19|MilitaryPerson
2010-06-18|ComicsCharacter
2010-06-19|ComicsCharacter
2010-06-12|PrimeMinister
2010-06-18|EurovisionSongContestEntry
2010-06-21|SoccerPlayer
2010-06-10|Company
2010-06-17|Artist
2010-06-23|Scientist
2010-06-07|MilitaryPerson
2010-06-22|Governor
2010-06-10|FictionalCharacter
2010-06-20|Governor
2010-06-19|Actor
2010-06-16|BaseballPlayer
2010-06-12|MilitaryPerson
2010-06-17|MilitaryPerson
2010-06-24|PrimeMinister
2010-06-06|MilitaryPerson
2010-06-09|ComicsCharacter
2010-06-18|Comedian
2010-06-19|SoccerPlayer
2010-06-13|EurovisionSongContestEntry
2010-06-11|Architect
2010-06-22|FormulaOneRacer
2010-06-21|Governor
2010-06-08|SoccerManager
2010-06-24|ChristianBishop
2010-06-17|FormulaOneRacer
2010-06-13|Company
2010-06-05|Company
2010-06-21|Comedian
2010-06-20|FormulaOneRacer
2010-06-10|FormulaOneRacer
2010-06-14|SoccerPlayer
2010-06-06|ComicsCreator
2010-06-08|Actor
2010-06-09|ComicsCreator
2010-06-22|SoccerManager
2010-06-15|Senator
2010-06-21|ComicsCreator
2010-06-08|Company
2010-06-15|Architect
2010-06-13|Architect
2010-06-12|Comedian
2010-06-16|SoccerManager
2010-06-08|SoccerPlayer
2010-06-18|Actor
2010-06-18|FictionalCharacter
2010-06-20|Senator
2010-06-08|FictionalCharacter
2010-06-12|ComicsCharacter
2010-06-06|Governor
2010-06-17|ComicsCreator
2010-06-14|MilitaryPerson
2010-06-12|FictionalCharacter
2010-06-18|ComicsCreator
2010-06-18|MilitaryPerson
2010-06-22|Artist
2010-06-10|Actor
2010-06-05|FormulaOneRacer
2010-06-15|Company
2010-06-06|FormulaOneRacer
2010-06-07|Architect
2010-06-15|BaseballPlayer
2010-06-06|ComicsCharacter
2010-06-13|ComicsCharacter
2010-06-19|FormulaOneRacer
2010-06-19|FictionalCharacter
2010-06-10|Comedian
2010-06-06|Artist
2010-06-11|Actor
2010-06-14|Actor
2010-06-06|BaseballPlayer
2010-06-15|MilitaryPerson
2010-06-13|BaseballPlayer
2010-06-18|Artist
2010-06-07|PrimeMinister
2010-06-05|BaseballPlayer
2010-06-09|EurovisionSongContestEntry
2010-06-10|MilitaryPerson
2010-06-16|EurovisionSongContestEntry
2010-06-13|Comedian
2010-06-11|BaseballPlayer
2010-06-16|FormulaOneRacer
2010-06-24|Boxer
2010-06-14|ChristianBishop
2010-06-21|Company
2010-06-17|Scientist
2010-06-09|Thing
2010-06-15|ComicsCharacter
2010-06-20|Actor
2010-06-12|ChristianBishop
2010-06-12|Governor
2010-06-16|ComicsCreator
2010-06-11|Senator
2010-06-18|Company
2010-06-09|SoccerManager
2010-06-06|Comedian
2010-06-07|ChristianBishop
2010-06-21|FictionalCharacter
2010-06-20|ComicsCreator
2010-06-06|Thing
2010-06-10|ChristianBishop
2010-06-19|SoccerManager
2010-06-12|EurovisionSongContestEntry
2010-06-21|Actor
2010-06-19|PrimeMinister
2010-06-20|ComicsCharacter
2010-06-20|Thing
2010-06-23|Architect
2010-06-12|SoccerPlayer
2010-06-09|Senator
2010-06-24|SoccerPlayer
2010-06-06|Actor
2010-06-24|Thing
2010-06-17|Senator
2010-06-17|Comedian
2010-06-20|SoccerPlayer
2010-06-10|Thing
2010-06-09|SoccerPlayer
2010-06-14|Company
2010-06-07|Artist
2010-06-22|ChristianBishop
2010-06-20|MilitaryPerson
2010-06-05|ComicsCharacter
2010-06-09|BaseballPlayer
2010-06-08|Artist
2010-06-09|Artist
2010-06-13|Scientist
2010-06-05|Governor
2010-06-11|ChristianBishop
2010-06-23|PrimeMinister
2010-06-13|SoccerPlayer
2010-06-15|Artist
2010-06-07|SoccerManager
2010-06-18|Senator
2010-06-13|ComicsCreator
2010-06-06|FictionalCharacter
2010-06-10|ComicsCharacter
2010-06-14|Governor
2010-06-22|Senator
2010-06-10|Artist
2010-06-22|PrimeMinister
2010-06-14|BaseballPlayer
2010-06-15|Thing
2010-06-13|SoccerManager
2010-06-17|ComicsCharacter
2010-06-14|Artist
2010-06-09|Scientist
2010-06-17|Architect
2010-06-24|BaseballPlayer
2010-06-11|Thing
2010-06-09|Governor
2010-06-08|Architect
2010-06-22|EurovisionSongContestEntry
2010-06-08|ComicsCharacter
2010-06-07|Senator
2010-06-17|ChristianBishop
2010-06-21|MilitaryPerson
2010-06-10|Scientist
2010-06-13|FormulaOneRacer
2010-06-16|Company
2010-06-20|Company
2010-06-21|Boxer
2010-06-15|ChristianBishop
2010-06-17|Governor
2010-06-07|Company
2010-06-09|ChristianBishop
2010-06-17|FictionalCharacter
2010-06-08|Senator
2010-06-20|BaseballPlayer
2010-06-18|Governor
2010-06-12|Scientist
2010-06-05|Comedian
2010-06-17|BaseballPlayer
2010-06-23|Company
2010-06-21|Senator
2010-06-08|Comedian
2010-06-19|Comedian
2010-06-15|FormulaOneRacer
2010-06-19|EurovisionSongContestEntry
2010-06-12|Company
2010-06-24|FictionalCharacter
2010-06-05|FictionalCharacter
2010-06-09|Architect
2010-06-24|EurovisionSongContestEntry
2010-06-24|ComicsCreator
2010-06-08|ComicsCreator
2010-06-23|Comedian
2010-06-24|Artist
2010-06-08|Scientist
2010-06-18|PrimeMinister
2010-06-16|ChristianBishop
2010-06-11|ComicsCharacter
2010-06-06|ChristianBishop
2010-06-22|Company
2010-06-17|Actor
2010-06-22|Boxer
2010-06-23|Actor
2010-06-10|ComicsCreator
2010-06-15|PrimeMinister
2010-06-05|SoccerManager
2010-06-22|Thing
2010-06-13|PrimeMinister
2010-06-18|ChristianBishop
2010-06-10|Architect
2010-06-16|Architect
2010-06-10|Governor
2010-06-23|ComicsCreator
2010-06-10|SoccerPlayer
2010-06-15|Scientist
2010-06-17|Company
2010-06-05|PrimeMinister
2010-06-21|EurovisionSongContestEntry
2010-06-15|Governor
2010-06-13|MilitaryPerson
2010-06-18|BaseballPlayer
2010-06-19|Scientist
2010-06-06|PrimeMinister
2010-06-13|Actor
2010-06-22|SoccerPlayer
2010-06-14|PrimeMinister
2010-06-08|BaseballPlayer
2010-06-19|Architect
2010-06-16|Governor
2010-06-11|Company
2010-06-22|Architect
2010-06-12|SoccerManager
2010-06-07|Governor
2010-06-19|Artist
2010-06-07|BaseballPlayer
2010-06-14|Senator
2010-06-05|Artist
2010-06-17|Thing
2010-06-15|EurovisionSongContestEntry
2010-06-23|SoccerManager
2010-06-18|Scientist
2010-06-24|Company
2010-06-14|Comedian
2010-06-11|Governor
2010-06-21|Thing
2010-06-23|EurovisionSongContestEntry
2010-06-09|Comedian
2010-06-09|Company
2010-06-14|EurovisionSongContestEntry
2010-06-21|ComicsCharacter
2010-06-13|Thing
2010-06-23|Boxer
2010-06-07|Actor
2010-06-16|Thing
2010-06-24|FormulaOneRacer
2010-06-06|Company
2010-06-21|Scientist
2010-06-23|Thing
2010-06-13|Senator
2010-06-05|SoccerPlayer
2010-06-10|Senator
2010-06-19|Company
2010-06-11|EurovisionSongContestEntry
2010-06-23|Senator
2010-06-08|Governor
2010-06-22|ComicsCharacter
2010-06-22|Scientist
2010-06-08|FormulaOneRacer
2010-06-11|ComicsCreator
2010-06-20|Artist
2010-06-16|ComicsCharacter
2010-06-05|MilitaryPerson
2010-06-09|FictionalCharacter
2010-06-15|Actor
2010-06-09|FormulaOneRacer
2010-06-12|Actor
2010-06-15|FictionalCharacter
2010-06-13|Governor
2010-06-21|Architect
2010-06-09|Actor
2010-06-14|FictionalCharacter
2010-06-17|SoccerPlayer
2010-06-15|SoccerPlayer
2010-06-05|ComicsCreator
2010-06-11|PrimeMinister
2010-06-19|BaseballPlayer
2010-06-11|Scientist
2010-06-22|Comedian
2010-06-18|SoccerManager
2010-06-21|FormulaOneRacer
2010-06-24|Senator
2010-06-12|Artist
2010-06-16|MilitaryPerson
2010-06-21|SoccerManager
2010-06-23|FictionalCharacter
2010-06-12|Thing
2010-06-14|FormulaOneRacer
2010-06-19|ComicsCreator
2010-06-20|FictionalCharacter
2010-06-20|Scientist
2010-06-18|FormulaOneRacer
2010-06-14|Scientist
2010-06-19|Thing
2010-06-16|Actor
2010-06-14|Architect
2010-06-11|SoccerManager
2010-06-09|PrimeMinister
2010-06-24|Actor
2010-06-23|Artist
2010-06-20|EurovisionSongContestEntry
2010-06-14|SoccerManager
2010-06-05|Thing
2010-06-21|ChristianBishop
2010-06-24|Governor
2010-06-11|FictionalCharacter
2010-06-22|FictionalCharacter
2010-06-16|SoccerPlayer
2010-06-16|Artist
2010-06-21|Artist
2010-06-18|Architect
2010-06-22|Actor
2010-06-12|FormulaOneRacer
2010-06-20|PrimeMinister
2010-06-16|Senator
2010-06-13|ChristianBishop
2010-06-24|ComicsCharacter
2010-06-05|Senator
2010-06-16|FictionalCharacter
2010-06-22|BaseballPlayer
2010-06-11|MilitaryPerson
2010-06-24|SoccerManager
2010-06-15|Comedian
2010-06-05|ChristianBishop
2010-06-12|ComicsCreator
2010-06-06|Scientist
2010-06-13|FictionalCharacter
2010-06-08|MilitaryPerson
2010-06-16|Comedian
2010-06-15|SoccerManager
2010-06-17|EurovisionSongContestEntry
2010-06-11|Comedian
2010-06-08|PrimeMinister
2010-06-24|MilitaryPerson
2010-06-11|SoccerPlayer
2010-06-07|Scientist
2010-06-19|Governor
2010-06-06|SoccerManager
2010-06-23|BaseballPlayer
2010-06-06|SoccerPlayer
2010-06-07|FormulaOneRacer
2010-06-23|SoccerPlayer
2010-06-21|BaseballPlayer
2010-06-06|Architect
2010-06-07|FictionalCharacter
2010-06-12|Architect
2010-06-21|PrimeMinister
2010-06-05|Scientist
2010-06-16|Scientist
2010-06-24|Scientist
2010-06-24|Comedian
2010-06-14|Thing
2010-06-18|Thing
2010-06-16|PrimeMinister
2010-06-12|Senator
2010-06-24|Architect
2010-06-09|MilitaryPerson
2010-06-23|FormulaOneRacer
2010-06-11|FormulaOneRacer
