tagClass:STRING|country:STRING
Philosopher|China
Saint|India
President|India
Song|China
TennisPlayer|India
Monarch|China
Thing|China
Scientist|India
Artist|China
BaseballPlayer|China
ChristianBishop|China
MilitaryPerson|India
Comedian|China
FictionalCharacter|India
PrimeMinister|China
ComicsCreator|India
ComicsCharacter|China
Cricketer|China
Actor|China
Senator|India
SoccerPlayer|China
Politician|India
IceHockeyPlayer|India
Governor|India
Architect|China
Company|India
EurovisionSongContestEntry|India
Boxer|China
FormulaOneRacer|India
BasketballPlayer|China
Chancellor|India
MilitaryUnit|India
GolfPlayer|India
Athlete|India
Criminal|India
SoccerManager|China
AmericanFootballPlayer|China
Band|India
NascarDriver|India
SportsTeamMember|China
MemberOfParliament|China
MartialArtist|China
Cyclist|India
Wrestler|India
Congressman|India
SnookerChamp|China
SnookerPlayer|China
BritishRoyalty|China
Writer|China
OfficeHolder|India
MusicalArtist|India
Album|China
Person|India
Single|China
Country|China
