tag:STRING|startDate:DATE|endDate:DATE
Claude_Monet|2010-06-10|2010-06-22
Dominican_Republic|2010-06-08|2010-06-21
Christopher_Lee|2010-06-16|2010-06-30
Argentina|2010-06-16|2010-06-30
Claude_Monet|2010-06-08|2010-06-21
Cher|2010-06-11|2010-06-25
Angelina_Jolie|2010-06-11|2010-06-25
Bryan_Adams|2010-06-13|2010-06-26
Bermuda|2010-06-09|2010-06-19
Czech_Republic|2010-06-13|2010-06-26
Alfred_Hitchcock|2010-06-05|2010-06-17
Agatha_Christie|2010-06-12|2010-06-23
Austria|2010-06-23|2010-07-06
Dwight_D._Eisenhower|2010-06-15|2010-06-27
Bette_Midler|2010-06-12|2010-06-23
Claude_Monet|2010-06-05|2010-06-17
Czech_Republic|2010-06-08|2010-06-21
14th_Dalai_Lama|2010-06-09|2010-06-19
Ella_Fitzgerald|2010-06-16|2010-06-30
Burma|2010-06-16|2010-06-30
Canada|2010-06-06|2010-06-20
Canada|2010-06-08|2010-06-21
Czech_Republic|2010-06-15|2010-06-27
Bob_Dylan|2010-06-23|2010-07-06
Cher|2010-06-16|2010-06-30
Cleopatra_VII|2010-06-11|2010-06-25
Aristotle|2010-06-24|2010-07-04
Benito_Mussolini|2010-06-15|2010-06-27
Bermuda|2010-06-08|2010-06-21
Cleopatra_VII|2010-06-23|2010-07-06
Cameroon|2010-06-08|2010-06-21
Bermuda|2010-06-06|2010-06-20
Claude_Monet|2010-06-09|2010-06-19
Alexander_the_Great|2010-06-06|2010-06-20
Elizabeth_I_of_England|2010-06-11|2010-06-25
Czech_Republic|2010-06-12|2010-06-23
Bruce_Willis|2010-06-05|2010-06-17
Bryan_Adams|2010-06-10|2010-06-22
Cambodia|2010-06-16|2010-06-30
Czechoslovakia|2010-06-05|2010-06-17
Beyoncé_Knowles|2010-06-11|2010-06-25
Catherine_the_Great|2010-06-16|2010-06-30
Bosnia_and_Herzegovina|2010-06-11|2010-06-25
Batman|2010-06-16|2010-06-30
David_Hume|2010-06-06|2010-06-20
Bermuda|2010-06-05|2010-06-17
Beyoncé_Knowles|2010-06-09|2010-06-19
Christopher_Lee|2010-06-11|2010-06-25
Abraham_Lincoln|2010-06-05|2010-06-17
Czech_Republic|2010-06-06|2010-06-20
Canada|2010-06-12|2010-06-23
Douglas_Adams|2010-06-12|2010-06-23
Cher|2010-06-06|2010-06-20
Andrew_Jackson|2010-06-07|2010-06-18
Edward_Elgar|2010-06-16|2010-06-30
Agatha_Christie|2010-06-10|2010-06-22
David_Lloyd_George|2010-06-12|2010-06-23
Christina_Aguilera|2010-06-16|2010-06-30
Calvin_Coolidge|2010-06-11|2010-06-25
Beyoncé_Knowles|2010-06-12|2010-06-23
Democratic_Republic_of_the_Congo|2010-06-11|2010-06-25
Claude_Monet|2010-06-13|2010-06-26
Alanis_Morissette|2010-06-21|2010-07-05
Abraham_Lincoln|2010-06-06|2010-06-20
Beyoncé_Knowles|2010-06-08|2010-06-21
Czech_Republic|2010-06-09|2010-06-19
Cyprus|2010-06-13|2010-06-26
Dominican_Republic|2010-06-06|2010-06-20
Dante_Alighieri|2010-06-06|2010-06-20
Andrew_Jackson|2010-06-08|2010-06-21
Cameroon|2010-06-11|2010-06-25
Czech_Republic|2010-06-10|2010-06-22
Czech_Republic|2010-06-07|2010-06-18
Croatia|2010-06-11|2010-06-25
Dominican_Republic|2010-06-09|2010-06-19
Dante_Alighieri|2010-06-08|2010-06-21
Confucius|2010-06-08|2010-06-21
Cameroon|2010-06-10|2010-06-22
Elizabeth_I_of_England|2010-06-09|2010-06-19
Charles_Darwin|2010-06-15|2010-06-27
Czechoslovakia|2010-06-09|2010-06-19
Canada|2010-06-10|2010-06-22
Diana,_Princess_of_Wales|2010-06-16|2010-06-30
Clint_Eastwood|2010-06-11|2010-06-25
Dominican_Republic|2010-06-07|2010-06-18
Bing_Crosby|2010-06-06|2010-06-20
Elizabeth_Taylor|2010-06-23|2010-07-06
Canada|2010-06-09|2010-06-19
Calvin_Coolidge|2010-06-16|2010-06-30
Alanis_Morissette|2010-06-14|2010-06-24
David_Lloyd_George|2010-06-10|2010-06-22
Canada|2010-06-07|2010-06-18
Brazil|2010-06-14|2010-06-24
Bugs_Bunny|2010-06-16|2010-06-30
Andrew_Jackson|2010-06-14|2010-06-24
Czech_Republic|2010-06-05|2010-06-17
Drew_Barrymore|2010-06-16|2010-06-30
David_Hume|2010-06-05|2010-06-17
Bermuda|2010-06-07|2010-06-18
Dominican_Republic|2010-06-10|2010-06-22
