tag:STRING|startDate:DATE|endDate:DATE
1,039/Smoothed_Out_Slappy_Hours|2010-06-24|2010-07-04
...And_Out_Come_the_Wolves|2010-06-15|2010-06-27
...All_This_Time|2010-06-22|2010-07-03
1,039/Smoothed_Out_Slappy_Hours|2010-06-16|2010-06-30
...From_the_Hungry_i|2010-06-23|2010-07-06
...And_Then_There_Was_X|2010-06-18|2010-07-01
...And_Out_Come_the_Wolves|2010-06-11|2010-06-25
1,_2_Step|2010-06-17|2010-06-28
...Something_to_Be|2010-06-12|2010-06-23
...Something_to_Be|2010-06-06|2010-06-20
01011001|2010-06-24|2010-07-04
1,039/Smoothed_Out_Slappy_Hours|2010-06-21|2010-07-05
1,_2_Step|2010-06-20|2010-07-02
...And_the_Circus_Leaves_Town|2010-06-21|2010-07-05
1,039/Smoothed_Out_Slappy_Hours|2010-06-14|2010-06-24
...Famous_Last_Words...|2010-06-08|2010-06-21
...Something_to_Be|2010-06-22|2010-07-03
...Baby_One_More_Time|2010-06-18|2010-07-01
...Famous_Last_Words...|2010-06-09|2010-06-19
...And_the_Circus_Leaves_Town|2010-06-16|2010-06-30
...And_the_Circus_Leaves_Town|2010-06-23|2010-07-06
...Something_to_Be|2010-06-05|2010-06-17
...And_Out_Come_the_Wolves|2010-06-07|2010-06-18
...And_the_Circus_Leaves_Town|2010-06-19|2010-06-29
...Something_to_Be|2010-06-11|2010-06-25
...And_the_Circus_Leaves_Town|2010-06-18|2010-07-01
...Something_to_Be|2010-06-14|2010-06-24
...And_Out_Come_the_Wolves|2010-06-06|2010-06-20
1,039/Smoothed_Out_Slappy_Hours|2010-06-11|2010-06-25
...And_Out_Come_the_Wolves|2010-06-16|2010-06-30
...Something_to_Be|2010-06-08|2010-06-21
...And_Then_There_Was_X|2010-06-20|2010-07-02
...All_This_Time|2010-06-20|2010-07-02
...To_Be_Loved|2010-06-20|2010-07-02
...From_the_Hungry_i|2010-06-24|2010-07-04
...And_Out_Come_the_Wolves|2010-06-09|2010-06-19
10,000_Days|2010-06-06|2010-06-20
...All_This_Time|2010-06-21|2010-07-05
...Something_to_Be|2010-06-23|2010-07-06
...All_This_Time|2010-06-23|2010-07-06
...Something_to_Be|2010-06-09|2010-06-19
...Something_to_Be|2010-06-13|2010-06-26
01011001|2010-06-20|2010-07-02
1,039/Smoothed_Out_Slappy_Hours|2010-06-12|2010-06-23
...Famous_Last_Words...|2010-06-06|2010-06-20
...And_the_Circus_Leaves_Town|2010-06-24|2010-07-04
...All_This_Time|2010-06-24|2010-07-04
...And_Then_There_Was_X|2010-06-22|2010-07-03
...To_Be_Loved|2010-06-16|2010-06-30
...And_Out_Come_the_Wolves|2010-06-08|2010-06-21
10,000_Days|2010-06-05|2010-06-17
...And_Out_Come_the_Wolves|2010-06-10|2010-06-22
...From_the_Hungry_i|2010-06-20|2010-07-02
...Famous_Last_Words...|2010-06-10|2010-06-22
...Famous_Last_Words...|2010-06-07|2010-06-18
1,039/Smoothed_Out_Slappy_Hours|2010-06-20|2010-07-02
1,039/Smoothed_Out_Slappy_Hours|2010-06-15|2010-06-27
1,039/Smoothed_Out_Slappy_Hours|2010-06-13|2010-06-26
1,039/Smoothed_Out_Slappy_Hours|2010-06-08|2010-06-21
...Famous_Last_Words...|2010-06-05|2010-06-17
...To_Be_Loved|2010-06-21|2010-07-05
...Famous_Last_Words...|2010-06-13|2010-06-26
01011001|2010-06-22|2010-07-03
...Something_to_Be|2010-06-07|2010-06-18
...To_Be_Loved|2010-06-24|2010-07-04
...To_Be_Loved|2010-06-22|2010-07-03
...From_the_Hungry_i|2010-06-18|2010-07-01
...Famous_Last_Words...|2010-06-12|2010-06-23
...And_Out_Come_the_Wolves|2010-06-05|2010-06-17
...To_Be_Loved|2010-06-23|2010-07-06
...All_This_Time|2010-06-16|2010-06-30
1,039/Smoothed_Out_Slappy_Hours|2010-06-07|2010-06-18
...And_Then_There_Was_X|2010-06-17|2010-06-28
1,_2_Step|2010-06-18|2010-07-01
...From_the_Hungry_i|2010-06-21|2010-07-05
...And_the_Circus_Leaves_Town|2010-06-22|2010-07-03
...From_the_Hungry_i|2010-06-22|2010-07-03
...Something_to_Be|2010-06-20|2010-07-02
...Something_to_Be|2010-06-24|2010-07-04
...And_Then_There_Was_X|2010-06-21|2010-07-05
...And_Out_Come_the_Wolves|2010-06-12|2010-06-23
...From_the_Hungry_i|2010-06-19|2010-06-29
...Famous_Last_Words...|2010-06-11|2010-06-25
1,039/Smoothed_Out_Slappy_Hours|2010-06-06|2010-06-20
...And_the_Circus_Leaves_Town|2010-06-20|2010-07-02
1,039/Smoothed_Out_Slappy_Hours|2010-06-09|2010-06-19
...All_This_Time|2010-06-18|2010-07-01
1,_2_Step|2010-06-19|2010-06-29
...And_Then_There_Was_X|2010-06-19|2010-06-29
...Something_to_Be|2010-06-18|2010-07-01
1,039/Smoothed_Out_Slappy_Hours|2010-06-10|2010-06-22
...And_Out_Come_the_Wolves|2010-06-13|2010-06-26
...From_the_Hungry_i|2010-06-16|2010-06-30
...To_Be_Loved|2010-06-18|2010-07-01
...Something_to_Be|2010-06-15|2010-06-27
...And_Out_Come_the_Wolves|2010-06-14|2010-06-24
1,039/Smoothed_Out_Slappy_Hours|2010-06-23|2010-07-06
...Something_to_Be|2010-06-10|2010-06-22
1,039/Smoothed_Out_Slappy_Hours|2010-06-22|2010-07-03
...Something_to_Be|2010-06-21|2010-07-05
