personId:ID|country:STRING|tagClass:STRING|minPathDistance:INT|maxPathDistance:INT
14146|Finland|MartialArtist|3|4
29081|Nicaragua|CollegeCoach|3|4
17470|Finland|Cyclist|3|4
22922|Puerto_Rico|Criminal|3|4
379|Bosnia_and_Herzegovina|Chancellor|3|4
19971|Puerto_Rico|CollegeCoach|3|4
51039|Uruguay|Astronaut|3|4
44144|Laos|ComicsCharacter|3|4
10869|Bulgaria|Model|3|4
55201|Bolivia|Band|3|4
19971|Rwanda|Wrestler|3|4
16643|Latvia|Band|3|4
7879|Bosnia_and_Herzegovina|Wrestler|3|4
19971|Nicaragua|Athlete|3|4
55811|Uruguay|SnookerPlayer|3|4
41496|Puerto_Rico|MartialArtist|3|4
55201|Chad|ComicsCharacter|3|4
29081|Puerto_Rico|MemberOfParliament|3|4
44144|Croatia|CollegeCoach|3|4
2051|Slovakia|Cyclist|3|4
20443|Angola|MemberOfParliament|3|4
1647|Honduras|CollegeCoach|3|4
20443|Nicaragua|Chancellor|3|4
24757|Libya|MartialArtist|3|4
24264|Bolivia|Chancellor|3|4
16990|Mongolia|Wrestler|3|4
19971|Libya|Band|3|4
51806|Bosnia_and_Herzegovina|Athlete|3|4
628|Croatia|Chancellor|3|4
14146|Bosnia_and_Herzegovina|Model|3|4
44144|Chad|Criminal|3|4
29081|Latvia|MemberOfParliament|3|4
8687|Uruguay|MartialArtist|3|4
2051|Mongolia|Athlete|3|4
14026|Mongolia|Chancellor|3|4
24264|Laos|Band|3|4
51806|Rwanda|ComicsCharacter|3|4
44144|Mongolia|SnookerChamp|3|4
43615|Finland|Band|3|4
14026|Latvia|Athlete|3|4
24264|Finland|Company|3|4
54242|Laos|MartialArtist|3|4
46657|Libya|Astronaut|3|4
24264|Mongolia|Cyclist|3|4
16643|Singapore|Cyclist|3|4
54733|Bolivia|Athlete|3|4
24264|Slovakia|Wrestler|3|4
29081|Dominican_Republic|Chancellor|3|4
14026|Oman|Astronaut|3|4
32204|Mongolia|Chancellor|3|4
10869|Laos|SnookerPlayer|3|4
16990|Bolivia|SnookerChamp|3|4
43349|Dominican_Republic|MartialArtist|3|4
54242|Uruguay|Model|3|4
11024|Rwanda|MemberOfParliament|3|4
46657|Rwanda|MemberOfParliament|3|4
26759|Chad|Criminal|3|4
51166|Nicaragua|SnookerPlayer|3|4
51166|Rwanda|Cyclist|3|4
24264|Nicaragua|Astronaut|3|4
29081|Puerto_Rico|Cyclist|3|4
55201|Chad|SnookerPlayer|3|4
14026|Latvia|MemberOfParliament|3|4
54733|Libya|ComicsCharacter|3|4
43615|Singapore|MartialArtist|3|4
43209|Bulgaria|Company|3|4
11225|Bosnia_and_Herzegovina|ComicsCharacter|3|4
55201|Honduras|Model|3|4
7879|Latvia|MartialArtist|3|4
14026|Bulgaria|Band|3|4
32204|Bulgaria|Chancellor|3|4
43615|Latvia|Chancellor|3|4
9338|Singapore|MartialArtist|3|4
32204|Laos|Athlete|3|4
29081|Angola|Model|3|4
41850|Oman|Band|3|4
41850|Chad|Model|3|4
2051|Latvia|Model|3|4
55201|Oman|Company|3|4
