startDate:DATE|lengthThreshold:INT|languages:STRING[]
2012-06-03|120|es;pt;zh
2012-06-03|120|zh;ru;fr
2012-06-03|120|ru;de;ja
2012-06-03|120|ur;de;ja
2012-06-18|95|es;pt;zh
2012-06-18|95|zh;ru;fr
2012-06-18|95|ru;de;ja
2012-06-18|95|ur;de;ja
2012-07-03|70|es;pt;zh
2012-07-03|70|zh;ru;fr
2012-07-03|70|ru;de;ja
2012-07-03|70|ur;de;ja
2012-05-31|125|es;pt;zh
2012-05-31|125|zh;ru;fr
2012-05-31|125|ru;de;ja
2012-05-31|125|ur;de;ja
2012-07-15|50|es;pt;zh
2012-07-15|50|zh;ru;fr
2012-07-15|50|ru;de;ja
2012-07-15|50|ur;de;ja
2012-06-24|85|es;pt;zh
2012-06-24|85|zh;ru;fr
2012-06-24|85|ru;de;ja
2012-06-24|85|ur;de;ja
2012-05-22|140|es;pt;zh
2012-05-22|140|zh;ru;fr
2012-05-22|140|ru;de;ja
2012-05-22|140|ur;de;ja
2012-05-19|145|es;pt;zh
2012-05-19|145|zh;ru;fr
2012-05-19|145|ru;de;ja
2012-05-19|145|ur;de;ja
2012-06-06|115|es;pt;zh
2012-06-06|115|zh;ru;fr
2012-06-06|115|ru;de;ja
2012-06-06|115|ur;de;ja
2012-06-12|105|es;pt;zh
2012-06-12|105|zh;ru;fr
2012-06-12|105|ru;de;ja
2012-06-12|105|ur;de;ja
2012-07-12|55|es;pt;zh
2012-07-12|55|zh;ru;fr
2012-07-12|55|ru;de;ja
2012-07-12|55|ur;de;ja
2012-07-06|65|es;pt;zh
2012-07-06|65|zh;ru;fr
2012-07-06|65|ru;de;ja
2012-07-06|65|ur;de;ja
2012-06-21|90|es;pt;zh
2012-06-21|90|zh;ru;fr
2012-06-21|90|ru;de;ja
2012-06-21|90|ur;de;ja
2012-06-30|75|es;pt;zh
2012-06-30|75|zh;ru;fr
2012-06-30|75|ru;de;ja
2012-06-30|75|ur;de;ja
2012-06-15|100|es;pt;zh
2012-06-15|100|zh;ru;fr
2012-06-15|100|ru;de;ja
2012-06-15|100|ur;de;ja
2012-05-28|130|es;pt;zh
2012-05-28|130|zh;ru;fr
2012-05-28|130|ru;de;ja
2012-05-28|130|ur;de;ja
2012-06-27|80|es;pt;zh
2012-06-27|80|zh;ru;fr
2012-06-27|80|ru;de;ja
2012-06-27|80|ur;de;ja
2012-06-09|110|es;pt;zh
2012-06-09|110|zh;ru;fr
2012-06-09|110|ru;de;ja
2012-06-09|110|ur;de;ja
2012-05-25|135|es;pt;zh
2012-05-25|135|zh;ru;fr
2012-05-25|135|ru;de;ja
2012-05-25|135|ur;de;ja
2012-07-09|60|es;pt;zh
2012-07-09|60|zh;ru;fr
2012-07-09|60|ru;de;ja
2012-07-09|60|ur;de;ja
