country1:STRING|country2:STRING
Bolivia|Panama
Bulgaria|El_Salvador
Nicaragua|Wales
Croatia|Lithuania
Chad|Latvia
El_Salvador|Laos
Latvia|Singapore
Bulgaria|Norway
Liberia|Slovenia
Azerbaijan|Singapore
Panama|Tajikistan
Finland|Republic_of_Macedonia
Mauritius|Republic_of_Macedonia
Finland|Honduras
Chad|Liberia
Libya|Oman
Jordan|Libya
Bolivia|Bosnia_and_Herzegovina
Chad|Republic_of_Macedonia
Norway|Scotland
Azerbaijan|Mauritius
Rwanda|Wales
Azerbaijan|Bolivia
Northern_Ireland|Scotland
El_Salvador|Jordan
Swaziland|Wales
Finland|Laos
Bolivia|Libya
Chad|Finland
Denmark|Mauritania
Chad|Slovenia
Dominican_Republic|Northern_Ireland
Norway|Swaziland
Mauritius|New_Zealand
Chad|Swaziland
Mauritius|Northern_Ireland
Mauritania|New_Zealand
El_Salvador|Panama
Latvia|Norway
Finland|Malta
Latvia|Switzerland
Azerbaijan|Malta
Estonia|Malta
Mauritius|Slovakia
Denmark|Swaziland
New_Zealand|Slovenia
Laos|Nicaragua
Chad|Panama
Austria|Laos
Bosnia_and_Herzegovina|Mauritania
