tagA:STRING|dateA:DATE|tagB:STRING|dateB:DATE|maxKnowsLimit:INT
Jeff_Kennett|2011-11-01|Ralph_Bakshi|2010-05-11|3
Hot_Fuss|2011-01-11|Michael_Doohan|2011-04-05|5
The_Clones_of_Dr._Funkenstein|2011-05-12|Brokeback_Mountain:_Original_Motion_Picture_Soundtrack|2010-10-25|5
Odds_&_Sods|2011-03-07|Steel_Wheels|2010-01-31|4
The_Lonely_Bull|2011-02-06|Fun,_Fun,_Fun|2010-08-05|5
J.E._Heartbreak|2011-05-06|Right_on_the_Money|2011-11-25|6
No_Way_to_Say|2011-10-15|Apagorevmeno|2011-02-28|6
Been_There,_Done_That|2011-06-19|The_Thin_Ice|2010-07-26|4
All_Nightmare_Long|2011-03-09|Dancing_Undercover|2011-01-02|5
The_Divine_Miss_M|2010-10-27|Moving_Violation|2010-11-13|4
Ramble_On|2010-04-17|Darfur|2010-04-22|6
The_Best_of_David_Bowie_1969/1974|2011-07-07|Pieces_of_a_Man|2010-12-04|5
The_Lonely_Goatherd|2010-11-16|Glee:_The_Music,_Volume_6|2010-12-09|6
Welcome_to_the_Black_Parade|2010-12-28|Rosenrot|2010-01-30|3
Lovefool|2011-02-10|WOW_Hits_2008|2010-04-06|4
Greatest_Hits_1974–78|2011-03-12|Mr._Writer|2011-02-12|5
Tago_Mago|2011-02-10|Beyond_My_Control|2011-09-17|4
On_the_Corner|2011-02-23|Assumption_of_Mary|2010-02-20|4
Felix_Frankfurter|2012-07-11|Aga_Khan_IV|2010-09-02|5
The_Pretty_Toney_Album|2011-08-25|Jeff_Kennett|2011-03-21|4
The_Lonely_Bull|2011-02-06|Melody_A.M.|2010-12-14|4
The_Pretty_Toney_Album|2011-08-25|Paul_Keating|2010-10-15|4
The_Heroin_Diaries_Soundtrack|2011-08-16|Sans_logique|2011-11-14|5
After_the_Heat|2011-07-23|Preflyte|2010-11-14|5
Lovefool|2011-02-10|Brokeback_Mountain:_Original_Motion_Picture_Soundtrack|2010-10-25|6
Lovefool|2011-02-10|Locked_Out|2011-05-17|5
J.E._Heartbreak|2011-05-06|Republic_of_New_Granada|2010-07-02|4
Seventh_Star|2011-06-10|Paul_Keating|2010-10-15|4
Tago_Mago|2011-02-10|New_Irish_Hymns|2011-06-01|4
Movement_in_Still_Life|2011-09-25|Assumption_of_Mary|2010-02-20|6
When_the_Pawn…|2011-04-09|Anytime_You_Need_a_Friend|2010-08-17|3
Shankar_Mahadevan|2012-08-05|Sans_logique|2011-11-14|3
Greatest_Hits_1974–78|2011-03-12|Fun,_Fun,_Fun|2010-08-05|3
The_Singles_1992–2003|2011-03-02|Bob_Geldof|2010-08-23|3
Justin_Bieber|2012-03-13|Cosmic_Egg|2010-04-06|4
List_of_Pokémon_theme_songs|2012-05-28|Linda_Ronstadt|2010-02-19|6
Koda_Kumi|2011-05-28|Dancing_Undercover|2011-01-02|5
Meaty_Beaty_Big_and_Bouncy|2011-02-23|Rani_Mukerji|2012-09-20|5
Hot_Fuss|2011-01-11|Jeff_Kennett|2011-03-21|6
Fresh_Fruit_for_Rotting_Vegetables|2011-01-24|Republic_of_New_Granada|2010-07-02|6
Raymond_van_Barneveld|2012-02-14|Blue_Bayou|2010-08-07|3
Going_to_a_Go-Go|2010-07-24|The_Melancholy_E.P.|2012-07-24|6
Objects_in_the_Rear_View_Mirror_May_Appear_Closer_than_They_Are|2010-10-23|The_Pretty_Toney_Album|2011-01-06|5
The_Division_Bell|2010-08-24|Hot_Sauce_Committee_Part_Two|2011-01-01|4
Save_Your_Kisses_for_Me|2010-10-24|Gin_and_Juice|2010-09-08|3
Raydiation|2011-04-29|No_Way_to_Say|2011-11-07|5
You_Still_Believe_in_Me|2010-10-21|Little_Lion_Man|2010-07-09|3
The_Pretty_Toney_Album|2011-08-25|No_Way_to_Say|2011-11-07|3
Save_Your_Kisses_for_Me|2010-10-24|Felix_Frankfurter|2011-08-22|6
Movement_in_Still_Life|2011-09-25|Mr._Writer|2011-02-12|6
Anytime_You_Need_a_Friend|2011-03-02|Ramakrishna|2012-04-17|4
Raymond_van_Barneveld|2012-02-14|The_Pretty_Toney_Album|2011-01-06|6
Lovefool|2011-02-10|French_Union|2010-06-19|6
Save_Your_Kisses_for_Me|2010-10-24|Empire_State_Human|2010-07-06|3
Odds_&_Sods|2011-03-07|The_Best_of_David_Bowie_1969/1974|2010-09-29|5
Shankar_Mahadevan|2012-08-05|Old_Time_Rock_and_Roll|2010-08-21|6
Saxe-Lauenburg|2010-10-18|Ramakrishna|2012-04-17|6
No_Way_to_Say|2011-10-15|Gin_and_Juice|2010-09-08|6
World_of_Our_Own|2010-12-16|The_Thin_Ice|2010-07-26|4
