tag:STRING|delta:INT
Rub_It_In|12
Jeff_Kennett|14
Sex_&_Religion|15
A–Z_Series|16
Gustav_I_of_Sweden|9
Richard_X_Presents_His_X-Factor_Vol._1|15
Dare_Iz_a_Darkside|8
I_treni_di_Tozeur|11
Bluebirds_over_the_Mountain|8
Menachem_Mendel_Schneerson|13
Shooting_Rubberbands_at_the_Stars|9
The_Best_of_Dire_Straits_&_Mark_Knopfler:_Private_Investigations|12
Edmund_Husserl|10
Touring_Band_2000|15
Dawn_French|15
Para_Siempre|10
Prince_Rupert_of_the_Rhine|11
Beautiful_Mess|9
Are_You_Sure_Hank_Done_It_This_Way|15
Flame_Trees|14
Eleni_Daniilidou|11
Happy,_Happy_Birthday_Baby|14
Come_and_Get_These_Memories|9
Wasting_Love|9
Bring_On_the_Dancing_Horses|16
Immagine_in_Cornice|10
Keep_It_Between_the_Lines|15
Madeleine_Albright|16
Up_the_Downstair|15
Song_for_the_Lonely|13
You_Look_So_Good_in_Love|10
Superbad:_The_Return_of_Boosie_Bad_Azz|10
Maná_MTV_Unplugged|12
Out_Through_the_In_Door|14
Radiohead:_The_Best_Of|10
Bull_in_the_Heather|16
Bulería|11
Steve_Darcis|14
In_the_Absence_of_Truth|16
Wordy_Rappinghood|10
Pavel_Vízner|9
Ingrid_Bergman|13
Grand_Theft_Autumn/Where_Is_Your_Boy|14
Close_Enough_to_Perfect|9
Lukáš_Dlouhý|14
Václav_Havel|9
Cherub_Rock|14
How_Can_I_Unlove_You|16
Come_from_the_Heart|12
A_Real_Diamond_in_the_Rough|16
Leopold_II,_Holy_Roman_Emperor|14
William_I_of_the_Netherlands|14
Perfect_Love|16
Famous_Monsters|15
Margaret_Court|16
Live_at_Piedmont_Park|12
Horror_of_Glam_Rock|9
Mind_of_a_Toy|15
WWF_The_Music,_Vol._3|8
Sunsets|9
Hannicap_Circus|10
Herbert_von_Karajan|14
Nanzan|10
Keep_This_Fire_Burning|9
Mountain_Soul|15
Command_Performances:_The_Essential_60s_Masters_II|10
Last_Stop:_This_Town|11
Under_the_Radar_Over_the_Top|9
Eddie_Van_Halen|14
The_Hazards_of_Love|10
Six_Months_in_a_Leaky_Boat|9
Emmanuelle_Gagliardi|16
Det_börjar_verka_kärlek,_banne_mig|14
El_Lute_/_Gotta_Go_Home|16
Jan_Siemerink|14
Teddy_Picker|9
No_One_Like_You|11
Here_Is_Mariah_Carey|10
Adam_Mickiewicz|10
Bella_Traición|10
Love_Buzz|9
Geek_Stink_Breath|14
Que_mon_cœur_lâche|15
Barbora_Záhlavová-Strýcová|10
Greasy_Truckers_Party|9
Clement_of_Alexandria|16
Captain_Lockheed_and_the_Starfighters|9
Vangelis|14
Love_So_Sweet|13
Greta_Garbo|13
Mew_discography|15
Delta_Goodrem|14
Pádraig_Harrington|8
125_Jahre_die_Toten_Hosen:_Auf_dem_Kreuzzug_ins_Glück|13
Nas_Ne_Dogonyat|10
Thela_Hun_Ginjeet|9
I_Love_It_Loud|15
Greg_Norman|13
Luv_Your_Life|10
Casey_Stoner|15
Sigismund_III_Vasa|13
Yngwie_Malmsteen|8
Samuel_Goldwyn|9
Rough_Boy|9
Queen_of_Hip-Pop|10
Be_Near_Me|15
Próxima_Estación:_Esperanza|9
V-2_Schneider|13
Thomas_Johansson|14
But_for_the_Grace_of_God|13
Solo_Quédate_En_Silencio|14
Rips_the_Covers_Off|11
Hasta_Mañana|14
Pericles|12
Saturday_Night_Wrist|16
The_Things_That_Dreams_Are_Made_Of|8
Wendy_Turnbull|11
Stray_Cat_Blues|13
Poetry_of_the_Deed|13
Nellie_Melba|15
Demosthenes|16
What_the_Hell_Have_I|10
In_the_Heart_of_a_Woman|16
Sugaree|13
Fritz_Lang|8
Jan_van_Eyck|12
Star_Star|14
AMotion|10
She_and_I|11
Robert_Maxwell|15
Out_of_the_Blue:_Live_at_Wembley|8
Simon_Aspelin|14
Karl_Popper|11
Summer_in_Paradise|10
Revolución_de_Amor|12
The_Salmon_Dance|14
Corazón_prohibido|10
I_Lay_My_Love_on_You|12
Like_Red_on_a_Rose|14
Wernher_von_Braun|8
Have_Love,_Will_Travel|10
Jordan_Kerr|15
Rolf_Harris|16
Such_a_Shame|13
Chaiyya_Chaiyya|15
Singles_Collection,_Volume_2|8
Multishow_ao_Vivo:_Ivete_no_Maracanã|9
Can_You_Stand_the_Rain|13
Gimme_Three_Steps|14
Saints_Cyril_and_Methodius|14
The_Boy_Bands_Have_Won|8
No_Me_Digas_Que_No|12
Theme_from_S.W.A.T.|16
Push_It_to_the_Limit|9
Pencil_Thin_Mustache|14
Room_112|16
Incipit_Satan|12
Slipping_Through_My_Fingers|12
Breathe_and_Stop|15
Stupify|8
Cradlesong|8
Tubular_Bells_III|12
Louder_Now|13
Alex_George|9
Bohdan_Khmelnytsky|15
Christiaan_Huygens|9
Dixieland_Delight|12
Hard_Rock_Bottom_of_Your_Heart|14
John_Curtin|15
How_Can_I_Help_You_Say_Goodbye|8
Anna_Molly|11
Bedřich_Smetana|8
Custard_Pie|8
Shinya_Nakano|9
Plitka_poezija|12
Run_Come_Save_Me|10
Robin_Söderling|14
Metropolis_2000:_Scenes_from_New_York|14
The_Magic_of_Boney_M.|14
Siempre_hace_frio|10
Taras_Shevchenko|10
I_Wish_You_Would|15
Play_Something_Country|16
Elvis_Sings_Flaming_Star|15
Our_Truth|12
Here_Come_the_Drums|14
The_Early_Days|11
Manfred_von_Richthofen|13
Glenn_McGrath|12
Rod_Laver|11
So_Wrong|12
Friedrich_Hayek|10
Speed_King|12
Amazing_Journey|14
Je_te_rends_ton_amour|9
Fortune_Faded|14
Artistička_radna_akcija|16
Mila_Kunis|13
Popscene|9
A_Pirate_Looks_at_Forty|9
Fairies_Wear_Boots|14
Never_Trust_a_Pretty_Face|11
Jacco_Eltingh|11
Your_Time_Is_Gonna_Come|16
Forever_Is_Over|15
One_Tree_Hill_discography|10
David_Rikl|12
Tuesday_Afternoon|14
Mikhail_Youzhny|14
Kiss_with_a_Fist|12
Legacy_of_Brutality|15
Dance_Love_Pop|14
Operation:_Mindcrime_II|8
Favorite_Girl|10
Cuatro_Caminos|8
Do_Ya/Stay_with_Me|16
Famous_Last_Words_of_a_Fool|16
Catch_a_Wave|11
Peter_Weir|14
El_Greco|11
OK_Calculator|13
Orlande_de_Lassus|15
Te_Extraño,_Te_Olvido,_Te_Amo|11
The_Leaving_Song_Pt._II|13
Sergei_Korolev|8
Uncontrolled_Substance|8
Kashmakash|11
John_the_Revelator_Lilian|15
Jason_Stoltenberg|16
The_Nu_Kats|14
Enver_Hoxha|12
Where_the_Lost_Ones_Go|16
Me_Estoy_Enamorando|10
The_Big_4_Live_from_Sofia,_Bulgaria|12
Casimir_IV_Jagiellon|15
Hieronymus_Bosch|8
Timothy_Dalton|14
Männer_sind_Schweine|12
Living_in_Danger|12
Silent_Shout|15
Evonne_Goolagong|9
End_Credits|11
Songbook:_The_Singles,_Vol._1|11
Mandrake_Root|12
Gabriel_Byrne|13
R.A.M.O.N.E.S.|8
Dil_Dil_Pakistan|12
Armin_van_Buuren|13
Germaine_Greer|8
Way_Away|9
Manon_Bollegraf|15
Patrick_Pearse|16
Hokuzan|15
Straight_Out_of_Line|14
Paul_von_Hindenburg|16
Chloe_Dancer/Crown_of_Thorns|11
Petr_Korda|12
Fantasía_Pop|13
Thomas_Enqvist|11
Seasons_of_Wither|15
The_Baby|9
Daniel_Vacek|12
Mas_Flow_2|9
Düm_Tek_Tek|14
In_the_Name_of_Love:_Artists_United_for_Africa|16
Steve_Irwin|9
Ten_Rounds_with_José_Cuervo|16
Robert_Owen|9
You_Got_Me_Rocking|12
Strange_Highways|16
The_Aeroplane_Flies_High|8
Amar_es_Combatir|14
Fíjate_Bien|15
Music_Bank|15
Yulia_Tymoshenko|9
Toots_Thielemans|9
My_Next_Thirty_Years|14
Jerry_Was_a_Race_Car_Driver|16
Your_Heart_Belongs_to_Me|8
Weird_Revolution|15
Educated_Horses|9
Never_Before|13
Lifesong|12
Natural_Resources|12
Greatest_Hits:_Back_to_the_Start|10
Karl_Barth|13
Rainer_Maria_Rilke|9
Baz_Luhrmann|10
Roy_Emerson|12
Alban_Berg|11
Dick_Norman|12
Nicole_Pratt|13
Johan_Cruyff|16
Buddy_&_Julie_Miller|9
God_Help_the_Girl|13
Blues_&_Roots|9
Crawling_King_Snake|13
Scott_Dixon|8
August_Strindberg|16
Lech_Kaczyński|10
Man_on_the_Edge|16
Baby,_I_Love_Your_Way/Freebird_Medley|9
Tales_from_the_Brothers_Gibb|10
The_All_Seeing_Eye|11
Beyond_the_Invisible|9
Lech_Wałęsa|15
Tha_Hall_of_Game|15
Highball_with_the_Devil|13
Ayn_Rand|14
This_Is_Boston,_Not_L.A.|8
Leopold_III_of_Belgium|11
In_Search_of_Sunrise_5:_Los_Angeles|13
Kick_at_the_Darkness|15
The_40th_Anniversary_Henry_Cow_Box_Set|16
Moseley_Shoals|15
Atado_a_Tu_Amor|12
Stanisław_Lem|14
From_Janet_to_Damita_Jo:_The_Videos|11
Digging_the_Grave|16
Peter_Singer|16
Tripping_Billies|9
Color_Esperanza|12
Warchest|13
Anders_Järryd|10
What_a_Man_My_Man_Is|12
Leopold_I,_Holy_Roman_Emperor|13
The_Mob_Rules|9
Covered,_A_Revolution_in_Sound|9
